x: 0,052532198881773, y: 0,0850903524534118, vx: 5,25216924419966, vy: 8,40933343829212 
x: 0,10505389132377, y: 0,169183686836333, vx: 5,25111881035082, vy: 8,30965157160446 
x: 0,157565079427278, y: 0,252280202552378, vx: 5,25006858658875, vy: 8,20998964129014 
x: 0,210065765293165, y: 0,334380098965279, vx: 5,24901857287144, vy: 8,11034764336188 
x: 0,26255595102188, y: 0,415483575398898, vx: 5,24796876915686, vy: 8,01072557383321 
x: 0,315035638713448, y: 0,49559083113723, vx: 5,24691917540303, vy: 7,91112342871844 
x: 0,367504830467479, y: 0,574702065424414, vx: 5,24586979156795, vy: 7,8115412040327 
x: 0,419963528383158, y: 0,652817477464741, vx: 5,24482061760964, vy: 7,71197889579189 
x: 0,472411734559254, y: 0,72993726642266, vx: 5,24377165348611, vy: 7,61243650001273 
x: 0,524849451094116, y: 0,806061631422788, vx: 5,24272289915542, vy: 7,51291401271273 
x: 0,57727668008567, y: 0,881190771549915, vx: 5,24167435457559, vy: 7,41341142991019 
x: 0,629693423631426, y: 0,955324885849017, vx: 5,24062601970467, vy: 7,3139287476242 
x: 0,682099683828472, y: 1,02846417332526, vx: 5,23957789450073, vy: 7,21446596187468 
x: 0,73449546277348, y: 1,10060883294401, vx: 5,23852997892183, vy: 7,1150230686823 
x: 0,786880762562698, y: 1,17175906363083, vx: 5,23748227292605, vy: 7,01560006406857 
x: 0,839255585291959, y: 1,24191506427151, vx: 5,23643477647146, vy: 6,91619694405575 
x: 0,891619933056673, y: 1,31107703371207, vx: 5,23538748951617, vy: 6,81681370466694 
x: 0,943973807951835, y: 1,37924517075874, vx: 5,23434041201827, vy: 6,71745034192601 
x: 0,996317212072018, y: 1,446419674178, vx: 5,23329354393586, vy: 6,61810685185762 
x: 1,04865014751138, y: 1,51260074269658, vx: 5,23224688522707, vy: 6,51878323048725 
x: 1,10097261636365, y: 1,57778857500145, vx: 5,23120043585003, vy: 6,41947947384115 
x: 1,15328462072215, y: 1,64198336973986, vx: 5,23015419576286, vy: 6,32019557794639 
x: 1,20558616267978, y: 1,70518532551933, vx: 5,22910816492371, vy: 6,2209315388308 
x: 1,25787724432901, y: 1,76739464090763, vx: 5,22806234329072, vy: 6,12168735252303 
x: 1,31015786776192, y: 1,82861151443286, vx: 5,22701673082206, vy: 6,02246301505253 
x: 1,36242803507014, y: 1,88883614458339, vx: 5,2259713274759, vy: 5,92325852244952 
x: 1,4146877483449, y: 1,94806872980788, vx: 5,22492613321041, vy: 5,82407387074503 
x: 1,466937009677, y: 2,00630946851533, vx: 5,22388114798376, vy: 5,72490905597088 
x: 1,51917582115684, y: 2,06355855907504, vx: 5,22283637175417, vy: 5,62576407415968 
x: 1,57140418487438, y: 2,11981619981664, vx: 5,22179180447982, vy: 5,52663892134485 
x: 1,62362210291918, y: 2,17508258903009, vx: 5,22074744611892, vy: 5,42753359356058 
x: 1,67582957738037, y: 2,22935792496569, vx: 5,2197032966297, vy: 5,32844808684187 
x: 1,72802661034667, y: 2,28264240583411, vx: 5,21865935597037, vy: 5,2293823972245 
x: 1,78021320390637, y: 2,33493622980636, vx: 5,21761562409918, vy: 5,13033652074506 
x: 1,83238936014736, y: 2,38623959501381, vx: 5,21657210097436, vy: 5,03131045344091 
x: 1,88455508115711, y: 2,43655269954822, vx: 5,21552878655416, vy: 4,93230419135022 
x: 1,93671036902265, y: 2,48587574146172, vx: 5,21448568079685, vy: 4,83331773051195 
x: 1,98885522583062, y: 2,53420891876684, vx: 5,21344278366069, vy: 4,73435106696585 
x: 2,04098965366722, y: 2,5815524294365, vx: 5,21240009510396, vy: 4,63540419675245 
x: 2,09311365461826, y: 2,62790647140402, vx: 5,21135761508494, vy: 4,5364771159131 
x: 2,14522723076911, y: 2,67327124256315, vx: 5,21031534356192, vy: 4,43756982048992 
x: 2,19733038420473, y: 2,71764694076805, vx: 5,20927328049321, vy: 4,33868230652582 
x: 2,24942311700966, y: 2,76103376383331, vx: 5,20823142583711, vy: 4,23981457006452 
x: 2,30150543126804, y: 2,80343190953396, vx: 5,20718977955195, vy: 4,14096660715051 
x: 2,35357732906355, y: 2,84484157560546, vx: 5,20614834159603, vy: 4,04213841382908 
x: 2,40563881247951, y: 2,88526295974375, vx: 5,20510711192772, vy: 3,94332998614631 
x: 2,45768988359879, y: 2,92469625960521, vx: 5,20406609050533, vy: 3,84454132014908 
x: 2,50973054450385, y: 2,9631416728067, vx: 5,20302527728723, vy: 3,74577241188505 
x: 2,56176079727672, y: 3,00059939692555, vx: 5,20198467223177, vy: 3,64702325740267 
x: 2,61378064399904, y: 3,03706962949958, vx: 5,20094427529733, vy: 3,54829385275119 
x: 2,66579008675201, y: 3,07255256802709, vx: 5,19990408644227, vy: 3,44958419398064 
x: 2,71778912761643, y: 3,1070484099669, vx: 5,19886410562498, vy: 3,35089427714185 
x: 2,76977776867268, y: 3,14055735273832, vx: 5,19782433280385, vy: 3,25222409828642 
x: 2,82175601200072, y: 3,17307959372118, vx: 5,19678476793729, vy: 3,15357365346676 
x: 2,87372385968009, y: 3,20461533025585, vx: 5,19574541098371, vy: 3,05494293873607 
x: 2,92568131378993, y: 3,23516475964321, vx: 5,19470626190151, vy: 2,95633195014832 
x: 2,97762837640895, y: 3,26472807914469, vx: 5,19366732064913, vy: 2,85774068375829 
x: 3,02956504961544, y: 3,29330548598228, vx: 5,192628587185, vy: 2,75916913562154 
x: 3,08149133548729, y: 3,32089717733849, vx: 5,19159006146756, vy: 2,66061730179442 
x: 3,13340723610196, y: 3,34750335035644, vx: 5,19055174345527, vy: 2,56208517833406 
x: 3,18531275353651, y: 3,37312420213978, vx: 5,18951363310658, vy: 2,46357276129839 
x: 3,23720788986758, y: 3,39775992975276, vx: 5,18847573037996, vy: 2,36508004674613 
x: 3,28909264717138, y: 3,42141073022022, vx: 5,18743803523388, vy: 2,26660703073678 
x: 3,34096702752372, y: 3,44407680052759, vx: 5,18640054762683, vy: 2,16815370933063 
x: 3,39283103299999, y: 3,4657583376209, vx: 5,18536326751731, vy: 2,06972007858877 
x: 3,44468466567516, y: 3,48645553840678, vx: 5,18432619486381, vy: 1,97130613457305 
x: 3,4965279276238, y: 3,50616859975251, vx: 5,18328932962483, vy: 1,87291187334613 
x: 3,54836082092005, y: 3,52489771848598, vx: 5,18225267175891, vy: 1,77453729097147 
x: 3,60018334763764, y: 3,54264309139569, vx: 5,18121622122456, vy: 1,67618238351327 
x: 3,65199550984988, y: 3,55940491523082, vx: 5,18017997798031, vy: 1,57784714703657 
x: 3,70379730962968, y: 3,57518338670119, vx: 5,17914394198472, vy: 1,47953157760716 
x: 3,75558874904953, y: 3,58997870247726, vx: 5,17810811319632, vy: 1,38123567129164 
x: 3,80736983018149, y: 3,60379105919018, vx: 5,17707249157368, vy: 1,28295942415738 
x: 3,85914055509723, y: 3,61662065343175, vx: 5,17603707707536, vy: 1,18470283227255 
x: 3,91090092586798, y: 3,62846768175448, vx: 5,17500186965995, vy: 1,0864658917061 
x: 3,96265094456458, y: 3,63933234067154, vx: 5,17396686928602, vy: 0,988248598527754 
x: 4,01439061325744, y: 3,64921482665681, vx: 5,17293207591216, vy: 0,890050948808049 
x: 4,06611993401657, y: 3,6581153361449, vx: 5,17189748949698, vy: 0,791872938618287 
x: 4,11783890891154, y: 3,66603406553108, vx: 5,17086310999908, vy: 0,693714564030563 
x: 4,16954754001153, y: 3,67297121117138, vx: 5,16982893737708, vy: 0,595575821117757 
x: 4,2212458293853, y: 3,67892696938256, vx: 5,1687949715896, vy: 0,497456705953534 
x: 4,27293377910119, y: 3,6839015364421, vx: 5,16776121259529, vy: 0,399357214612343 
x: 4,32461139122715, y: 3,68789510858822, vx: 5,16672766035277, vy: 0,30127734316942 
x: 4,37627866783067, y: 3,69090788201991, vx: 5,1656943148207, vy: 0,203217087700787 
x: 4,42793561097888, y: 3,69294005289692, vx: 5,16466117595773, vy: 0,105176444283246 
x: 4,47958222273846, y: 3,69399181733975, vx: 5,16362824372254, vy: 0,00715540899438975 
x: 4,53121850517568, y: 3,6940633714297, vx: 5,1625955180738, vy: -0,0908460220874091 
x: 4,58284446035642, y: 3,69315491120882, vx: 5,16156299897018, vy: -0,188827852882992 
x: 4,63446009034612, y: 3,69126663267999, vx: 5,16053068637039, vy: -0,286790087312415 
x: 4,68606539720983, y: 3,68839873180687, vx: 5,15949858023312, vy: -0,384732729294953 
x: 4,73766038301216, y: 3,68455140451392, vx: 5,15846668051707, vy: -0,482655782749094 
x: 4,78924504981733, y: 3,67972484668643, vx: 5,15743498718097, vy: -0,580559251592544 
x: 4,84081939968914, y: 3,6739192541705, vx: 5,15640350018353, vy: -0,678443139742225 
x: 4,89238343469097, y: 3,66713482277308, vx: 5,15537221948349, vy: -0,776307451114277 
x: 4,94393715688581, y: 3,65937174826194, vx: 5,1543411450396, vy: -0,874152189624054 
x: 4,9954805683362, y: 3,6506302263657, vx: 5,15331027681059, vy: -0,971977359186129 
x: 5,04701367110431, y: 3,64091045277384, vx: 5,15227961475523, vy: -1,06978296371429 
